package,apt,apt-get,dnf,yum,yay,pacman,zypper
update,sudo apt update,sudo apt-get update,sudo dnf makecache,sudo yum makecache,yay -Sy --noconfirm,sudo pacman -Sy --noconfirm,sudo zypper refresh
install,sudo apt install -y,sudo apt-get install -y,sudo dnf install -y,sudo dnf install -y,yay -S --noconfirm,sudo pacman -S --noconfirm,sudo zypper --non-interactive install
check_installed,dpkg -s,dpkg -s,dnf list installed,yum list installed,yay -Q,pacman -Q,zypper se --installed-only
gtk4,libgtk-4-dev build-essential,libgtk-4-dev build-essential,gtk4-devel gcc,gtk4-devel gcc,gtk4 base-devel ,gtk4 base-devel,libgtk-4-0 libgtk-4-devel gtk4
ffmpeg,ffmpeg,ffmpeg,ffmpeg,ffmpeg,ffmpeg,ffmpeg,ffmpeg
python-gobject,python3-gi python3-gi-cairo gir1.2-gtk-4.0,python3-gi python3-gi-cairo gir1.2-gtk-4.1,python3-gobject gtk4,python3-gobject gtk6,python-gobject gtk4,python-gobject gtk4,python3-gobject python3-gobject-Gdk typelib-1_0-Gtk-4_0
webkit2gtk,webkit2gtk-driver libwebkitgtk-6.0-4 libwebkitgtk-6.0-dev,webkit2gtk-driver libwebkitgtk-6.0-4 libwebkitgtk-6.0-dev,webkitgtk6.0 webkitgtk6.0-devel,webkitgtk6.0 webkitgtk6.0-devel,webkitgtk-6.0,webkitgtk-6.0,[OVERRIDE] sudo zypper addrepo --refresh https://download.opensuse.org/repositories/system:/snappy/openSUSE_Leap_15.5 snappy && sudo zypper --gpg-auto-import-keys refresh && sudo zypper dup --from snappy && sudo zypper install snapd && sudo systemctl enable --now snapd && sudo systemctl enable --now snapd.apparmor && sudo snap install webkitgtk-6-gnome-2204
jq,jq,jq,jq,jq,jq,jq,jq
,,,,,,,


